EQUIPMENTID,description,latitude,longitude,description2,roadsectionId
121725,AEDL - A1 297+975 CT3687,"41,11113","-8,608549",Santo Ovideo - A44/A29,177
121726,AEDL - A1 300+250 CT3688,"41,12538","-8,635809",A44/A29 - Canidelo,178
121727,AEDL - A1 300+920 CT3689,"41,129757","-8,635700",Canidelo - Afurada,179
121729,AEDL - A20 0+650 CT3683,"41,077354","-8,577590",Carvalhos - Canelas,165
121730,AEDL - A20 1+930 CT3684,"41,08205","-8,575104",Carvalhos - Canelas,165
121737,AEDL - A20 2+600 CT3721,"41,09138","-8,574559",Canelas - Avintes(N222),166
121738,AEDL - A20 6+410 CT3686,"41,12471","-8,57349",Avintes(N222) - Oliveira do Douro(A44),167
121731,AEDL - A20 10+150 CT3705,"41,15455","-8,58269",Freixo(A43) - Mercado Abastecedor,169
121732,AEDL - A20 11+600 CT3707,"41,16678","-8,585455",Mercado Abastecedor - Antas,170
121733,AEDL - A20 12+325 CT3708,"41,17043","-8,592237",Antas - A3,171
121734,AEDL - A20 12+980 CT3710,"41,17136","-8,599315",A3 - Paranhos,172
121735,AEDL - A20 13+890 CT3711,"41,1724","-8,606449",Paranhos - Amial,173
121736,AEDL - A20 15+850 CT3709,"41,1721","-8,632161",N14/Circunvala��o - Boavista,175
121741,AEDL - A28 1+050 CT3744,"41,15733","-8,646378",Campo Alegre - Boavista,192
121742,AEDL - A28 1+850 CT3745,"41,16396","-8,648117",Boavista - Rotunda AEP,193
121743,AEDL - A28 4+950 CT3702,"41,18264","-8,661078",Rotunda AEP - Senhora da Hora,194
121746,AEDL - A43 1+280 CT3690,"41,15208","-8,574777",Campanh� - Mercado Abastecedor,186
121749,AEDL - A43 2+150 CT3691,"41,15827","-8,567406",Mercado Abastecedor - Areosa,187
121750,AEDL - A43 3+100 CT3692,"41,155431","-8,556755",Areosa - Valbom,188
121751,AEDL - A43 4+750 CT3693,"41,144837","-8,547162",Areosa - Valbom,188
121752,AEDL - A43 6+450 CT3694,"41,1352","-8,537397",Valbom - Gondomar,189
121754,AEDL - A44 5+160 CT3680,"41,122467","-8,615874",Coimbr�es - Av. Da Rep�blica,182
121755,AEDL - A44 6+425 CT3681,"41,12549","-8,60651",Av. Da Rep�blica - Gaia (centro),183
121756,AEDL - A44 7+700 CT3682,"41,131325","-8,589874",Gaia (centro) - Pte. Freixo (A20),184
121745,AEDL - N14 0+400 CT3703,"41,17749","-8,62232",Circunvala��o (A20) - Areosa/Monte Burgos,163
121744,AEDL - N14 1+650 CT3704,"41,18872","-8,625984",Areosa/Monte Burgos - Le�a do Balio,161
